variant_id,product_id,size,color,stock
1,1,L,Blue,126
2,1,M,Green,198
3,1,L,Red,65
4,1,S,Black,38
5,2,S,Green,93
6,2,L,Black,16
7,3,M,Black,170
8,4,XL,Black,56
9,4,S,Yellow,182
10,4,L,Yellow,120
11,5,XL,Red,140
12,5,S,White,56
13,5,L,Yellow,22
14,5,S,Red,93
15,6,S,White,160
16,7,XL,Red,129
17,7,M,Green,36
18,8,XL,Blue,123
19,8,S,Blue,20
20,8,L,Red,168
21,8,S,Yellow,43
22,9,M,Green,112
23,9,M,White,120
24,9,L,Green,104
25,9,XL,Blue,191
26,10,M,Yellow,54
27,11,S,White,167
28,11,M,White,163
29,12,XL,Black,191
30,12,M,Green,38
31,12,L,Black,140
32,13,L,Blue,182
33,14,XL,Black,184
34,14,S,Green,127
35,14,S,Blue,186
36,15,XL,Yellow,87
37,15,XL,Blue,175
38,15,XL,Black,71
39,15,L,Blue,33
40,16,S,Green,6
41,16,L,Yellow,191
42,16,L,Black,157
43,17,M,Green,14
44,17,M,Yellow,62
45,18,M,Red,144
46,18,S,White,105
47,18,XL,Yellow,39
48,19,S,Black,5
49,20,XL,Green,196
50,20,XL,Black,164
51,20,M,Blue,171
52,20,XL,Green,102
53,21,M,White,169
54,22,S,Blue,127
55,23,M,Yellow,189
56,23,L,Green,164
57,23,L,Yellow,101
58,24,S,Black,108
59,24,M,Green,199
60,24,L,Blue,174
61,24,M,Red,181
62,25,M,White,58
63,26,S,Yellow,18
64,26,M,Black,119
65,26,S,Red,48
66,27,L,Black,25
67,28,M,Yellow,27
68,28,M,Green,150
69,28,M,Red,42
70,28,M,Black,25
71,29,S,Yellow,51
72,29,M,White,0
73,29,M,Green,145
74,30,S,Red,49
75,30,S,White,168
76,30,S,Yellow,130
77,30,L,Yellow,116
78,31,M,Blue,94
79,31,S,Blue,86
80,32,M,Black,19
81,32,L,Red,172
82,32,S,White,58
83,32,S,Blue,82
84,33,XL,White,141
85,33,XL,Green,112
86,33,XL,Blue,127
87,33,M,White,13
88,34,XL,Green,21
89,35,M,Blue,196
90,35,M,Green,27
91,35,L,Green,123
92,35,XL,Blue,169
93,36,M,Green,130
94,36,XL,Red,119
95,36,L,Blue,37
96,37,XL,Red,92
97,37,S,Red,17
98,37,XL,Black,64
99,37,L,Red,184
100,38,XL,Red,28
101,39,XL,White,43
102,39,S,Yellow,56
103,40,S,Blue,97
104,40,S,White,177
105,40,L,Green,54
106,41,M,Green,139
107,42,S,Green,172
108,42,L,Yellow,15
109,42,M,Blue,184
110,43,XL,White,183
111,43,L,Black,114
112,43,XL,Blue,181
113,44,S,Blue,50
114,45,M,Blue,194
115,45,M,Red,180
116,45,M,Yellow,195
117,46,S,Black,126
118,46,L,Yellow,126
119,46,L,Green,89
120,46,L,White,143
121,47,L,Green,29
122,48,M,Black,19
123,48,M,Yellow,34
124,48,M,Red,186
125,48,S,White,31
126,49,L,Yellow,56
127,49,L,Blue,178
128,49,S,Yellow,46
129,50,S,Black,18
130,50,L,Red,133
131,51,L,Black,184
132,51,XL,Black,110
133,51,M,Blue,11
134,52,L,Yellow,10
135,52,M,Red,131
136,52,M,Black,32
137,53,L,Yellow,168
138,53,XL,Black,172
139,54,L,Green,132
140,54,S,Red,145
141,54,M,Green,79
142,55,L,White,70
143,55,L,Red,88
144,55,XL,Green,159
145,55,XL,Red,99
146,56,XL,White,161
147,56,S,Red,31
148,57,XL,Red,24
149,57,XL,Red,178
150,57,L,Blue,25
151,58,XL,Green,164
152,58,XL,Red,107
153,58,L,Yellow,17
154,58,M,Blue,145
155,59,L,Green,185
156,59,XL,Red,100
157,60,XL,Blue,174
158,61,XL,Green,21
159,61,M,Red,19
160,61,XL,White,157
161,61,XL,Blue,30
162,62,S,Black,138
163,62,L,Yellow,194
164,62,S,Yellow,187
165,62,XL,White,7
166,63,M,Blue,30
167,63,S,Black,154
168,64,M,Black,197
169,64,XL,Red,186
170,65,XL,Blue,80
171,65,XL,Green,33
172,65,S,White,167
173,66,L,Green,75
174,66,S,Blue,65
175,66,S,Red,84
176,66,S,White,43
177,67,S,White,145
178,67,S,Blue,35
179,67,S,Black,51
180,67,M,Green,171
181,68,M,Green,15
182,68,XL,Blue,50
183,69,L,Red,95
184,70,XL,Green,77
185,71,L,White,199
186,71,S,Red,63
187,71,XL,Yellow,24
188,72,S,Black,145
189,73,L,Green,158
190,73,L,Red,120
191,73,M,White,173
192,73,M,Black,185
193,74,S,Blue,107
194,74,S,Black,183
195,75,S,Green,12
196,75,L,Blue,55
197,75,M,White,15
198,75,L,Red,143
199,76,S,Yellow,126
200,76,XL,Blue,53
201,76,XL,Green,161
202,76,XL,Blue,162
203,77,XL,Red,95
204,78,M,Black,146
205,78,L,Blue,70
206,79,M,Red,179
207,80,L,Green,7
208,80,L,Green,15
209,80,S,Red,131
210,81,XL,Yellow,117
211,82,L,White,82
212,82,L,Green,179
213,83,M,Black,53
214,83,M,White,130
215,83,L,Blue,190
216,84,XL,White,51
217,84,L,Red,2
218,85,L,Red,100
219,85,S,Yellow,155
220,86,XL,White,114
221,86,XL,Blue,2
222,87,XL,Red,11
223,88,S,Green,124
224,88,XL,Blue,194
225,88,XL,Green,25
226,88,S,Yellow,135
227,89,L,Red,63
228,89,M,Blue,4
229,90,XL,Black,193
230,90,M,Red,22
231,90,S,White,85
232,91,M,Red,121
233,91,M,Green,29
234,91,S,Black,70
235,91,M,White,112
236,92,M,Green,2
237,93,M,Black,47
238,93,S,Yellow,114
239,93,L,Black,14
240,93,L,Green,194
241,94,M,Yellow,114
242,94,S,Yellow,15
243,95,L,Red,40
244,96,L,Blue,135
245,96,M,Green,32
246,96,XL,Green,118
247,97,M,Red,119
248,97,M,Black,180
249,97,XL,Green,131
250,98,XL,Yellow,166
251,98,M,Red,95
252,98,M,White,97
253,99,M,Red,26
254,99,S,Black,23
255,99,L,Blue,27
256,99,S,Yellow,89
257,100,M,Red,35
258,101,L,Blue,150
259,101,M,White,56
260,101,M,Green,50
261,101,S,Green,125
262,102,XL,Green,122
263,102,M,Blue,69
264,102,S,White,155
265,103,S,Green,96
266,104,S,Black,92
267,105,M,White,197
268,105,M,Blue,123
269,105,L,White,176
270,106,M,Green,18
271,106,L,Red,47
272,106,S,Yellow,185
273,107,S,White,35
274,107,L,Yellow,45
275,107,M,Yellow,54
